,STAG,Ausgewählte Aufenthaltstitel,Value
296,2022-12-31,Duldung,247670
297,2022-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",684225
298,2022-12-31,Unbefristete Niederlassungserlaubnis,2609070
299,2022-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,9765
300,2023-12-31,Antrag auf einen Aufenthaltstitel gestellt,700875
301,2023-12-31,Aufenthaltsgestattung,371985
302,2023-12-31,Aufenthaltsrecht nach FreizügG/EU,5360270
303,2023-12-31,"Befristete AE, besondere Gründe und nationale Visa",180190
304,2023-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",2223555
305,2023-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",254015
306,2023-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",419285
307,2023-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",965525
308,2023-12-31,Duldung,193970
309,2023-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",572470
310,2023-12-31,Unbefristete Niederlassungserlaubnis,2644590
311,2023-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,9125
312,2024-12-31,Antrag auf einen Aufenthaltstitel gestellt,756175
313,2024-12-31,Aufenthaltsgestattung,349215
314,2024-12-31,Aufenthaltsrecht nach FreizügG/EU,5302855
315,2024-12-31,"Befristete AE, besondere Gründe und nationale Visa",173060
316,2024-12-31,"Befristete AE, völkerrechtl., human., pol. Gründe",2412130
317,2024-12-31,"Befristete Aufenthaltserlaubnis, Ausbildung",265800
318,2024-12-31,"Befristete Aufenthaltserlaubnis, Erwerbstätigkeit",450755
319,2024-12-31,"Befristete Aufenthaltserlaubnis, familiäre Gründe",1006500
320,2024-12-31,Duldung,177605
321,2024-12-31,"Ohne Aufenthaltstitel, Duldung oder Gestattung",543175
322,2024-12-31,Unbefristete Niederlassungserlaubnis,2616275
323,2024-12-31,Vom Erfordernis eines Aufenthaltstitels befreit,8075
